Brand & Model,Varient,Fuel Type,Driven Kilometers,Transmission,Owner,Location,Date of Posting Ad,Price (in ₹)
Mahindra Xuv500 (2017),W6 2WD,DIESEL,85000.0 KM,MANUAL,2nd Owner,"Vikaspuri, Delhi",01-27-2022,780000
Mahindra Xuv500 (2017),W6 2WD,DIESEL,85000.0 KM,MANUAL,2nd Owner,"Vikaspuri, Delhi",01-27-2022,780000
Maruti Suzuki Swift Dzire (2012),1.2 Vxi BSIV,PETROL,80000.0 KM,MANUAL,1st Owner,"Pitampura, Delhi",11-07-2021,315000
Mg Hector (2019),Sharp DCT Automatic,PETROL,28000.0 KM,AUTOMATIC,1st Owner,"Indira Nagar, Bengaluru",12-03-2021,1675000
Mg Hector (2019),Sharp DCT Automatic,PETROL,28000.0 KM,AUTOMATIC,1st Owner,"Indira Nagar, Bengaluru",12-03-2021,1675000
Mg Hector (2019),Sharp DCT Automatic,PETROL,28000.0 KM,AUTOMATIC,1st Owner,"Indira Nagar, Bengaluru",12-03-2021,1675000
Mg Hector (2019),Sharp DCT Automatic,PETROL,28000.0 KM,AUTOMATIC,1st Owner,"Indira Nagar, Bengaluru",12-03-2021,1675000
Hyundai I20 (2009),2009-2011 1.4 Asta (AT),CNG & HYBRIDS,"98,000 KM",AUTOMATIC,4+ Owner,"Madhuram, Junagadh",01-27-2022,225000
Maruti Suzuki Wagon R (2017),VXI BS IV,PETROL,22464.0 KM,MANUAL,1st Owner,"Sector 38 Noida Golf Course, Noida",01-27-2022,418500
Maruti Suzuki Wagon R (2017),VXI BS IV,PETROL,22464.0 KM,MANUAL,1st Owner,"Sector 38 Noida Golf Course, Noida",01-27-2022,418500
Tata Zest (2014),Quadrajet 1.3 XMA,DIESEL,62000.0 KM,AUTOMATIC,#NAME?,"Tilak Nagar, Delhi",01-27-2022,296000
Tata Zest (2014),Quadrajet 1.3 XMA,DIESEL,62000.0 KM,AUTOMATIC,#NAME?,"Tilak Nagar, Delhi",01-27-2022,296000
Hyundai I10 (2010),1.2 KAPPA ASTA O,PETROL,50000 KM,MANUAL,First Owner,"Shahdara, Delhi",01-13-2022,150000
Toyota Fortuner (2017),2.8 2WD MT,DIESEL,"72,000 KM",MANUAL,1st Owner,"Kathreguppe, Bengaluru",01-27-2022,3200000
Maruti Suzuki Alto (2012),Std,PETROL,"80,000 KM",MANUAL,3rd Owner,"Diakkwan, Kolasib",01-27-2022,99999
Maruti Suzuki Alto (2012),Std,PETROL,"80,000 KM",MANUAL,3rd Owner,"Diakkwan, Kolasib",01-27-2022,99999
Maruti Suzuki Wagon R (2016),LXI CNG,PETROL,"142,000 KM",MANUAL,1st Owner,"Sector 23A, Gurgaon",01-27-2022,222000
Hyundai Xcent (2015),1.2 VTVT S,CNG & HYBRIDS,"200,000 KM",MANUAL,2nd Owner,"Mohan Nagar, Ghaziabad",01-27-2022,170000
Mahindra Scorpio (2016),S8 7 Seater,DIESEL,"35,000 KM",MANUAL,1st Owner,"Gurung Basti, Siliguri",01-27-2022,910000
Mahindra Scorpio (2016),S8 7 Seater,DIESEL,"35,000 KM",MANUAL,1st Owner,"Gurung Basti, Siliguri",01-27-2022,910000
Isuzu Mu7 (2014),High BS IV,DIESEL,206167.0 KM,MANUAL,1st Owner,"Goripalayam, Madurai",01-11-2022,850000
Isuzu Mu7 (2014),High BS IV,DIESEL,206167.0 KM,MANUAL,1st Owner,"Goripalayam, Madurai",01-11-2022,850000
Toyota Fortuner (2012),2011-2016 4x2 Manual,DIESEL,150000.0 KM,MANUAL,1st Owner,"Golf Course Road, Gurgaon",01-27-2022,965000
Toyota Fortuner (2012),2011-2016 4x2 Manual,DIESEL,150000.0 KM,MANUAL,1st Owner,"Golf Course Road, Gurgaon",01-27-2022,965000
Toyota Fortuner (2012),2011-2016 4x2 Manual,DIESEL,150000.0 KM,MANUAL,1st Owner,"Golf Course Road, Gurgaon",01-27-2022,965000
Toyota Fortuner (2012),2011-2016 4x2 Manual,DIESEL,150000.0 KM,MANUAL,1st Owner,"Golf Course Road, Gurgaon",01-27-2022,965000
Toyota Fortuner (2012),2011-2016 4x2 Manual,DIESEL,150000.0 KM,MANUAL,1st Owner,"Golf Course Road, Gurgaon",01-27-2022,965000
Hyundai Santro (2019),New,PETROL,"6,000 KM",MANUAL,1st Owner,"Sajan Nagar, Sitamarhi",01-27-2022,350000
Mahindra Bolero Pik-Up (2016),FB 1.7T,DIESEL,160000 KM,MANUAL,First Owner,"MIDC Road, Mumbai",01-13-2022,525000
Bmw 3 Series (2011),320d Sedan,DIESEL,85249.0 KM,AUTOMATIC,1st Owner,"Khajaguda, Hyderabad",01-01-2022,985000
Bmw 3 Series (2011),320d Sedan,DIESEL,85249.0 KM,AUTOMATIC,1st Owner,"Khajaguda, Hyderabad",01-01-2022,985000
Mercedes-Benz M-Class (2015),ML 350 CDI,DIESEL,115000.0 KM,AUTOMATIC,1st Owner,"Maradu, Kochi",01-03-2022,3500000
Mercedes-Benz M-Class (2015),ML 350 CDI,DIESEL,115000.0 KM,AUTOMATIC,1st Owner,"Maradu, Kochi",01-03-2022,3500000
Mercedes-Benz M-Class (2015),ML 350 CDI,DIESEL,115000.0 KM,AUTOMATIC,1st Owner,"Maradu, Kochi",01-03-2022,3500000
Hyundai I10 (2009),2007-2010 Sportz 1.2,PETROL,"55,000 KM",MANUAL,2nd Owner,"Kasaridih, Durg",01-10-2022,180000
Hyundai I10 (2009),2007-2010 Sportz 1.2,PETROL,"55,000 KM",MANUAL,2nd Owner,"Kasaridih, Durg",01-10-2022,180000
Chevrolet Optra Magnum (2009),1.6 LS Petrol,PETROL,90000 KM,MANUAL,Fourth Owner,"Najafgarh, Delhi",01-13-2022,85000
Maruti Suzuki 800 (2004),Std MPFi,PETROL,70000 KM,MANUAL,Third Owner,"Khed Shivapur, Pune",01-13-2022,49999
Maruti Suzuki 800 (2004),Std MPFi,PETROL,70000 KM,MANUAL,Third Owner,"Khed Shivapur, Pune",01-13-2022,49999
Mercedes-Benz E-Class (2012),2013-2015 E250 CDI Avantgrade,DIESEL,"85,000 KM",AUTOMATIC,1st Owner,"Moonnu Mukku Junction, Attingal",01-27-2022,1585000
Mercedes-Benz E-Class (2012),2013-2015 E250 CDI Avantgrade,DIESEL,"85,000 KM",AUTOMATIC,1st Owner,"Moonnu Mukku Junction, Attingal",01-27-2022,1585000
Mercedes-Benz E-Class (2012),2013-2015 E250 CDI Avantgrade,DIESEL,"85,000 KM",AUTOMATIC,1st Owner,"Moonnu Mukku Junction, Attingal",01-27-2022,1585000
Mercedes-Benz E-Class (2012),2013-2015 E250 CDI Avantgrade,DIESEL,"85,000 KM",AUTOMATIC,1st Owner,"Moonnu Mukku Junction, Attingal",01-27-2022,1585000
Mercedes-Benz E-Class (2012),2013-2015 E250 CDI Avantgrade,DIESEL,"85,000 KM",AUTOMATIC,1st Owner,"Moonnu Mukku Junction, Attingal",01-27-2022,1585000
Maruti Suzuki 800 (2004),Std MPFi,PETROL,70000 KM,MANUAL,Third Owner,"Khed Shivapur, Pune",Maharashtra,49999
Chevrolet Optra Magnum (2009),1.6 LS Petrol,PETROL,90000 KM,MANUAL,Fourth Owner,"Najafgarh, Delhi",Delhi,85000
Chevrolet Optra Magnum (2009),1.6 LS Petrol,PETROL,90000 KM,MANUAL,Fourth Owner,"Najafgarh, Delhi",Delhi,85000
Toyota Corolla Altis (2014),1.8 G,PETROL,68790.0 KM,AUTOMATIC,1st Owner,"Bandra West, Mumbai",01-27-2022,850000
Toyota Corolla Altis (2014),1.8 G,PETROL,68790.0 KM,AUTOMATIC,1st Owner,"Bandra West, Mumbai",01-27-2022,850000
