Brand & Model,Varient,Fuel Type,Driven Kilometers,Transmission,Owner,Location,Date of Posting Ad,Price (in ₹)
2017 Maruti Dzire,['VDI'],Petrol,"22,432 km",Automatic,1st Owner,"Ranjit Avenue, Ludhiana",03-01-2022,397099
2018 Maruti Dzire,['SHVS'],Petrol,"42,575 km",Manual,2nd Owner,"Gujeni, Kanpur",03-01-2022,382199
2014 Renault Duster,['FLUIDIC'],Diesel,"51,727 km",Manual,1st Owner,"Badarpur, Delhi",03-01-2022,325399
2018 Tata Tiago,['1.6'],Petrol,"37,606 km",Manual,1st Owner,"Sun City, Bareilly",03-01-2022,345099
2015 Hyundai i10,['EX'],Petrol,"61,140 km",Manual,1st Owner,"Hazratganj, Lucknow",03-01-2022,578799
2012 Toyota Etios,['VTVT'],Diesel,"55,275 km",Manual,1st Owner,"Puthanathani, Malappuram",03-01-2022,395899
2018 Maruti S Cross,['RXT'],Diesel,"40,899 km",Manual,1st Owner,"Kukatpally, Hyderabad",03-01-2022,695499
2014 Hyundai Grand i10,['VDI'],Petrol + CNG,"50,787 km",Manual,1st Owner,"Janki Nagar, Patna",03-01-2022,335599
2017 Hyundai Grand i10,['SHVS'],Petrol,"24,778 km",Manual,1st Owner,"Bhawani Nagar, Jammu",03-01-2022,394799
2019 Hyundai VENUE,['LDI'],Diesel,"25,835 km",Manual,1st Owner,"Fort Mohalla, Mysuru",03-01-2022,328299
2016 Maruti Ciaz,['O'],Diesel,"56,758 km",Manual,1st Owner,"Garhi Sarwat, Muzaffarnagar",03-01-2022,355699
2017 Hyundai Verna,['GD'],Diesel,"43,938 km",Automatic,1st Owner,"Smd, Kalpetta",03-01-2022,353899
2017 Ford Ecosport,['GD'],Petrol + CNG,"40,392 km",Manual,1st Owner,"Borivali East, Mumbai",03-01-2022,548099
2015 Toyota Etios,['ZXI'],Diesel,"62,623 km",Manual,1st Owner,"Shaheed Bhagat Singh Colony, Rajpura",01/25/2022,355799
2018 Ford Ecosport,['PLUS'],Diesel,"40,788 km",Manual,1st Owner,"Versova, Mumbai",03-01-2022,322399
2018 Ford Ecosport,['VXI'],Petrol,"25,232 km",Manual,1st Owner,"Vikaspuri, Delhi",03-01-2022,559199
2017 Hyundai Grand i10,['VXI'],Petrol + CNG,"73,246 km",Manual,1st Owner,"Akbar Hills, Hyderabad",03-01-2022,344499
2018 Hyundai Elite i20,['RXL'],Petrol + CNG,"22,389 km",Manual,1st Owner,"Vasai East, Mumbai",03-01-2022,504899
2015 Honda Amaze,['ZETA'],Petrol,"40,386 km",Manual,1st Owner,"Nungambakkam, Chennai",03-01-2022,344499
2018 Maruti Swift,['SHVS'],Petrol,"34,860 km",Manual,1st Owner,"Rajouri Garden, Delhi",03-01-2022,344499
2014 Maruti Ciaz,['G'],Diesel,"1,23,906 km",Manual,1st Owner,"Subhash Nagar, Delhi",03-01-2022,344499
2019 Ford Ecosport,['MAGNA'],Diesel,"53,457 km",Manual,1st Owner,"Rajendra Nagar Sector 3, Ghaziabad",03-01-2022,334799
2019 Maruti Vitara Brezza,['1.1'],Diesel,"32,662 km",Automatic,1st Owner,"Raviwar Peth, Belagavi",03-01-2022,387899
2015 Toyota Fortuner,['CRDI'],Diesel,"90,313 km",Automatic,1st Owner,"Shankar Nagar, Salem",03-01-2022,501199
2017 Hyundai Grand i10,['1.2'],Petrol,"46,481 km",Manual,1st Owner,"Nirman Nagar, Jaipur",03-01-2022,503399
2017 Maruti Swift,['SMT'],Petrol,"25,227 km",Manual,1st Owner,"Satya Vihar, Bhubaneshwar",03-01-2022,330399
2020 Maruti Baleno,['I'] ,Petrol,"3,514 km",Manual,1st Owner,"Manchar, Pune",03-01-2022,332399
2018 Maruti Baleno,['VTEC'],Petrol,"26,412 km",Manual,1st Owner,"Officers Colony, Sakti",03-01-2022,353899
2011 Hyundai i10,['1.2'],Petrol,"43,597 km",Manual,1st Owner,"Paschim Vihar, Delhi",03-01-2022,353899
2013 Maruti Swift,['i-VTEC'],Diesel,"1,08,136 km",Manual,1st Owner,Alipur,02-01-2022,334999
2017 Maruti Swift,['VX'],Petrol,"46,758 km",Manual,1st Owner,"MDDA Colony Near Kedarpuram, Dehradun",02-01-2022,513499
2015 Maruti Wagon R 1.0,['MT'],Petrol,"64,888 km",Manual,1st Owner,"Pragati Nagar, Ahmedabad",02-01-2022,379599
2015 Hyundai Grand i10,['VXI'],Petrol,"63,396 km",Manual,1st Owner,"Malad West, Mumbai",02-01-2022,639099
2020 Maruti Vitara Brezza,['1.6'],Petrol,"20,024 km",Automatic,1st Owner,"Ambala Cantt, Ambala",02-01-2022,612399
2014 Maruti Ritz,['VTVT'],Diesel,"70,124 km",Manual,1st Owner,"Jaggi Colony, Ambala",02-01-2022,507899
2013 Hyundai i10,['SX'],Petrol,"38,356 km",Manual,1st Owner,"Shahdara, Delhi",02-01-2022,340399
2018 Maruti Wagon R 1.0,['AUTO'],Petrol + CNG,"81,282 km",Manual,1st Owner,"Dahisar East, Mumbai",02-01-2022,529899
2013 Maruti Swift Dzire,['1.6'],Diesel,"1,11,192 km",Manual,2nd Owner,"JP Nagar, Bengaluru",05-01-2022,1090499
2013 Maruti Swift,['VTVT'],Petrol,"17,576 km",Manual,1st Owner,"JP Nagar, Bengaluru",05-01-2022,347499
2017 Maruti Celerio,['SX'],Petrol,"30,741 km",Automatic,1st Owner,"Vadodara Goverment Colony, Vadodara",05-01-2022,390999
2016 Maruti Alto K10,['AUTO'],Petrol,"33,715 km",Manual,1st Owner,"Sarojini Nagar, Delhi",05-01-2022,340999
2015 Maruti Alto 800,['LXI'],Petrol,"44,564 km",Manual,1st Owner,"Shahdara, Delhi",05-01-2022,341599
2017 Maruti Alto K10,['DELTA'],Petrol,"28,704 km",Manual,1st Owner,"East Coast Road, Chennai",05-01-2022,453699
2019 Maruti Eeco,['1.2'],Petrol,"8,579 km",Manual,1st Owner,"Calicut Beach, Kozhikode",05-01-2022,454599
2018 Maruti Alto 800,['K12'],Petrol,"7,273 km",Manual,1st Owner,"Bibi Pakar, Darbhanga",05-01-2022,357899
2013 Maruti Alto K10,['AMT'],Petrol,"16,372 km",Manual,1st Owner,"Chelavoor, Pantheeramkavu",05-01-2022,342299
2019 Maruti Alto K10,['DELTA'],Petrol,"25,771 km",Manual,1st Owner,"Madhapur, Hyderabad",05-01-2022,351899
2014 Volkswagen Vento,['1.2'],Diesel,"41,389 km",Manual,1st Owner,"Chelavoor, Pantheeramkavu",05-01-2022,470599
2018 Renault Kwid,['K12'],Petrol,"9,355 km",Manual,1st Owner,"Mirpur, Gurdaspur",05-01-2022,404599
2014 Maruti Swift Dzire,['ZX'],Diesel,"55,542 km",Manual,2nd Owner,"Mirpur, Gurdaspur",05-01-2022,360099
2017 Maruti Swift,['MT'],Petrol,"19,497 km",Manual,2nd Owner,"Ali Gai, Shahjahanpur",05-01-2022,409599
2017 Maruti Swift,['1.2'],Petrol,"58,273 km",Manual,1st Owner,"Hebbal, Bengaluru",05-01-2022,365499
2014 Honda Mobilio,['V'],Diesel,"50,873 km",Manual,1st Owner,"Hebbal, Bengaluru",05-01-2022,369999
2017 Maruti Ertiga,['MT'],Diesel,"16,930 km",Manual,1st Owner,"Hebbal, Bengaluru",05-01-2022,386399
2012 Hyundai Verna,['ZETA'],Petrol,"25,373 km",Manual,1st Owner,"Hebbal, Bengaluru",05-01-2022,710599
2017 Renault Kwid,['1.2'],Petrol,"15,405 km",Manual,1st Owner,"Ramesh Nagar, Delhi",05-01-2022,381999
2017 Maruti Ertiga,['K'],Diesel,"87,376 km",Manual,2nd Owner,"Ramesh Nagar, Delhi",05-01-2022,361199
2017 Maruti Swift,['K12'],Diesel,"70,153 km",Manual,1st Owner,"Indira Nagar, Bengaluru",05-01-2022,830199
2017 Toyota Etios,['AMT'],Diesel,"51,852 km",Manual,1st Owner,"Indira Nagar, Bengaluru",05-01-2022,375999
2013 Toyota Etios,['ERA'],Diesel,"47,074 km",Manual,2nd Owner,"Khandagiri, Bhubaneshwar",05-01-2022,358599
2016 Maruti Ciaz,['PLUS'],Petrol,"61,043 km",Manual,1st Owner,"Khandagiri, Bhubaneshwar",05-01-2022,316399
2015 Maruti Swift,['1.2'],Petrol + CNG,"1,32,471 km",Manual,1st Owner,"Khandagiri, Bhubaneshwar",05-01-2022,385099
2017 Maruti Wagon R 1.0,['V'],Petrol,"28,190 km",Manual,1st Owner,"Madhapur, Hyderabad",05-01-2022,384899
2019 Renault Kwid,['MT'],Petrol,"1,179 km",Manual,1st Owner,"Now Gam, Nowgam",05-01-2022,394499
2021 Maruti XL6,['I'],Petrol,"2,685 km",Manual,1st Owner,"Now Gam, Nowgam",05-01-2022,447899
2016 Toyota Corolla Altis,['VTEC'],Petrol,"74,661 km",Manual,1st Owner,"Shivaji Nagar, Mumbai",05-01-2022,454699
2015 Hyundai Grand i10,['VXI'],Diesel,"62,491 km",Manual,1st Owner,"Shivaji Nagar, Mumbai",05-01-2022,417299
2015 Honda Amaze,['1.2'],Petrol,"68,693 km",Manual,1st Owner,"Badi Bazar, Pihani",05-01-2022,418499
2017 Honda WR-V,['S'],Petrol,"16,683 km",Manual,1st Owner,"Badi Bazar, Pihani",05-01-2022,353999
2019 Maruti Swift,['MT'],Petrol,"22,626 km",Manual,2nd Owner,"Thondankulangara, Alappuzha",05-01-2022,414399
2019 Hyundai Creta,['I'],Petrol,"3,983 km",Automatic,1st Owner,"Tazipora, Mohmmad Pora",05-01-2022,365299
2019 Hyundai Creta,['VTEC'],Petrol,"5,925 km",Automatic,1st Owner,"Ganga Bazar, Itanagar",05-01-2022,484299
2017 Maruti Alto 800,['SPORTZ'],Petrol,"46,246 km",Manual,2nd Owner,"Calicut Airport, Kozhikode",05-01-2022,368199
2018 Maruti IGNIS,['(O)'],Petrol,"38,369 km",Automatic,2nd Owner,"Police Lines, Varanasi",05-01-2022,384899
2020 Maruti Baleno,['1.2'],Petrol,"7,052 km",Manual,1st Owner,"Akurdi, Pune",05-01-2022,394499
2019 Honda Civic,['AT'],Diesel,"40,820 km",DIESEL,2nd Owner,"Jain Nagar, Meerut",05-01-2022,421199
2016 Honda Jazz,['SPORTZ'],Petrol,"39,344 km",Manual,1st Owner,"Mukundapur, Kolkata",05-01-2022,366799
2019 Maruti Baleno,['O'],Petrol,"19,933 km",Automatic,1st Owner,"Police Lines, Varanasi",05-01-2022,441999
2014 Hyundai Eon,['1.2'],Petrol,"8,783 km",Manual,2nd Owner,"Indira Nagar, Visakhapatnam",05-01-2022,480799
2012 Honda Brio,['SHARP'],Petrol,"27,194 km",Manual,1st Owner,"Indira Nagar, Visakhapatnam",05-01-2022,329599
2019 Maruti Alto 800,['DCT'],Petrol,"20,099 km",Manual,1st Owner,"Hasanpur, Bakhri",05-01-2022,429099
2012 Honda Brio,['PETROL'],Petrol,"46,959 km",Manual,1st Owner,"Shahibag, Ahmedabad",05-01-2022,498599
2018 Hyundai Grand i10,['VDI'],Petrol,"16,864 km",VTVT,1st Owner,"Shahibag, Ahmedabad",05-01-2022,498599
2017 Hyundai Grand i10,['VDI'],Petrol,"49,965 km",Manual,1st Owner,"Ganga Nagar, Meerut",05-01-2022,402999
2019 MG HECTOR,['VDI'],Petrol,"83,626 km",Automatic,1st Owner,"Mudichur, Chennai",05-01-2022,376599
2014 Maruti Ritz,['VDI'],Diesel,"79,805 km",Manual,2nd Owner,"Mudichur, Chennai",05-01-2022,363899
2012 Maruti Swift,['1.6'],Diesel,"82,702 km",Manual,1st Owner,"Amar Colony, Delhi",05-01-2022,423799
2019 Hyundai Creta,['VTVT'],Petrol,"14,976 km",Automatic,1st Owner,"Burempet, Narasaraopet",05-01-2022,425099
2017 Hyundai Grand i10,['SX'],Petrol,"47,417 km",Manual,2nd Owner,"Vikaspuri, Delhi",05-01-2022,401999
2015 Maruti Swift,['AUTO'],Petrol,"34,459 km",Manual,1st Owner,"Vikaspuri, Delhi",05-01-2022,384599
2017 Maruti Baleno,['SPORTS'],Petrol,"23,537 km",Automatic,1st Owner,"Vikaspuri, Delhi",05-01-2022,443899
2019 Hyundai GRAND I10 NIOS,['1.2'],Petrol,"12,867 km",AT,1st Owner,"Vikaspuri, Delhi",05-01-2022,443799
2014 Ford Ecosport,['VTVT'],Petrol,"58,943 km",Automatic,1st Owner,"Pitampura, Delhi",05-01-2022,400899
2018 Maruti Celerio,['VXI'],Petrol,"27,816 km",Manual,1st Owner,"Indira Nagar, Bengaluru",05-01-2022,433999
2015 Maruti Celerio,['VDI'],Petrol,"40,437 km",Automatic,1st Owner,"Indira Nagar, Bengaluru",05-01-2022,324599
2014 Toyota Corolla Altis,['VDI'],Petrol,"21,567 km",Automatic,1st Owner,"Indira Nagar, Bengaluru",05-01-2022,456899
2014 Toyota Corolla Altis,['DELTA'],Diesel,"1,03,033 km",Manual,1st Owner,"Indira Nagar, Bengaluru",05-01-2022,371099
2016 Maruti Swift Dzire,['1.2'],Diesel,"79,048 km",ABS,1st Owner,"Madhuram, Junagadh",06-01-2022,369899
2017 Hyundai Eon,['K12'],Petrol,"13,373 km",Manual,1st Owner,"Sector 38 Noida Golf Course, Noida",06-01-2022,514199
2013 Maruti Swift,['K'],Petrol,"27,428 km",Manual,1st Owner,"Sector 38 Noida Golf Course, Noida",06-01-2022,338299
2013 Toyota Innova,['AMT'],Diesel,"63,747 km",Manual,1st Owner,"Tilak Nagar, Delhi",06-01-2022,391299
2016 Maruti Swift Dzire,['SPORTZ'],Diesel,"54,447 km",Manual,1st Owner,"Tilak Nagar, Delhi",06-01-2022,352999
2017 Maruti Vitara Brezza,['1.2'],Diesel,"79,494 km",Manual,1st Owner,"Shahdara, Delhi",06-01-2022,390099
2019 Maruti Alto,['1.5'],Petrol,"43,183 km",Manual,1st Owner,"Kathreguppe, Bengaluru",06-01-2022,484599
2018 Maruti Dzire,['TITANIUM'],Diesel,"67,097 km",Automatic,1st Owner,"Diakkwan, Kolasib",06-01-2022,407699
2018 Maruti Swift,['TI'],Diesel,"66,535 km",Manual,1st Owner,"Diakkwan, Kolasib",06-01-2022,434799
2012 Maruti Swift,['VCT'],Petrol,"41,927 km",Manual,2nd Owner,"Sector 23A, Gurgaon",06-01-2022,397699
2016 Renault Duster,['AT'],Diesel,"58,152 km",Manual,2nd Owner,"Mohan Nagar, Ghaziabad",06-01-2022,433999
2014 Maruti Swift Dzire,['ZXI'],Diesel,"96,978 km",Manual,1st Owner,"Gurung Basti, Siliguri",06-01-2022,383099
2013 Maruti Swift,['OPT'],Diesel,"49,032 km",Manual,1st Owner,"Gurung Basti, Siliguri",06-01-2022,437099
2013 Maruti Swift,['ZXI'],Diesel,"40,547 km",Manual,1st Owner,"Goripalayam, Madurai",06-01-2022,470999
2014 Maruti Ertiga,['AMT'],Diesel,"93,340 km",Manual,1st Owner,"Goripalayam, Madurai",06-01-2022,401599
2020 Mahindra XUV 3OO,['VL'],Petrol,"6,573 km",Manual,1st Owner,"Golf Course Road, Gurgaon",06-01-2022,362399
2014 Maruti Swift,['AT'],Diesel,"79,144 km",Manual,1st Owner,"Golf Course Road, Gurgaon",06-01-2022,483099
2017 Mahindra TUV300,['D'],Diesel,"19,065 km",Manual,1st Owner,"Golf Course Road, Gurgaon",06-01-2022,495599
2013 Maruti Swift,['4D'],Diesel,"67,670 km",Manual,1st Owner,"Golf Course Road, Gurgaon",06-01-2022,444799
2017 Mahindra TUV300,['J'],Diesel,"37,328 km",Manual,1st Owner,"Golf Course Road, Gurgaon",06-01-2022,407499
2014 Toyota Innova,['VDI'],Diesel,"82,096 km",Manual,1st Owner,"Sajan Nagar, Sitamarhi",06-01-2022,402799
2016 Maruti Baleno,['D'],Petrol,"53,256 km",Automatic,2nd Owner,"MIDC Road, Mumbai",06-01-2022,402699
2016 Maruti Baleno,['LITE'],Petrol,"45,202 km",Manual,2nd Owner,"Khajaguda, Hyderabad",06-01-2022,439899
2012 Volkswagen Polo,['PLUS'],Petrol,"1,26,101 km",Manual,2nd Owner,"Khajaguda, Hyderabad",06-01-2022,429599
2014 Audi Q3,['LXI'],Diesel,"66,027 km",Manual,1st Owner,"Maradu, Kochi",06-01-2022,403899
2014 Toyota Corolla Altis,['2.5'],Diesel,"1,26,822 km",Manual,1st Owner,"Maradu, Kochi",06-01-2022,403999
2015 Hyundai Xcent,['GX'],Petrol + CNG,"45,547 km",Manual,1st Owner,"Maradu, Kochi",06-01-2022,371199
2012 Volvo S60,['8'],Diesel,"41,361 km",Automatic,1st Owner,"Kasaridih, Durg",06-01-2022,364399
2013 Maruti Ritz,['STR'],Diesel,"55,000 km",Manual,1st Owner,"Kasaridih, Durg",06-01-2022,407399
2015 Maruti Swift,['BS'],Diesel,"37,925 km",Manual,1st Owner,"Najafgarh, Delhi",06-01-2022,457499
2018 Honda City,['IV'],Diesel,"43,730 km",Manual,1st Owner,"Khed Shivapur, Pune",06-01-2022,391799
2015 BMW 3 Series,['LDI'],Diesel,"33,958 km",Automatic,1st Owner,"Khed Shivapur, Pune",06-01-2022,333699
2018 Maruti Vitara Brezza,['BS'],Diesel,"60,395 km",Manual,1st Owner,"Moonnu Mukku Junction, Attingal",06-01-2022,425199
2015 Mahindra XUV500,['IV'],Diesel,"1,14,885 km",Manual,1st Owner,"Moonnu Mukku Junction, Attingal",06-01-2022,414399
2015 Honda Amaze,['VDI'],Petrol,"65,067 km",Manual,1st Owner,"Moonnu Mukku Junction, Attingal",06-01-2022,406999
2015 Maruti Alto 800,['VDI'],Petrol,"51,434 km",Manual,1st Owner,"Moonnu Mukku Junction, Attingal",06-01-2022,471599
2020 Hyundai AURA,['VDI'],Petrol,"1,441 km",KAPPA,1st Owner,"Moonnu Mukku Junction, Attingal",06-01-2022,429999
2018 Maruti Vitara Brezza,['OPT'],Diesel,"50,742 km",Manual,1st Owner,"Khed Shivapur, Pune",06-01-2022,476799
2018 Hyundai Tucson New,['LXI'],Diesel,"58,368 km",Automatic,2nd Owner,"Najafgarh, Delhi",06-01-2022,432699
2017 Tata TIGOR,['ZDI'],Petrol,"70,895 km",Manual,1st Owner,"Najafgarh, Delhi",06-01-2022,423399
2018 Ford FREESTYLE,['Plus'],Petrol,"43,484 km",Manual,2nd Owner,"Bandra West, Mumbai",06-01-2022,423599
2018 Hyundai Creta,['AMT'],Diesel,"59,837 km",Manual,1st Owner,"Bandra West, Mumbai",06-01-2022,417699
2017 BMW X1,['VDI'],Diesel,"47,517 km",Automatic,1st Owner,"Andheri West, Mumbai",06-01-2022,458799
2016 Maruti S Cross,['LXI'],Diesel,"1,17,629 km",Manual,1st Owner,"Andheri West, Mumbai",06-01-2022,443699
2020 Toyota YARIS,['RXZ'],Petrol,"13,976 km",Manual,1st Owner,"Andheri West, Mumbai",06-01-2022,283699
2014 Hyundai Xcent,['DIESEL'],Petrol,"40,927 km",Manual,2nd Owner,"Andheri West, Mumbai",06-01-2022,469299
2017 Maruti IGNIS,['110'],Petrol,"15,302 km",Manual,1st Owner,"Andheri West, Mumbai",06-01-2022,447599
2015 BMW 3 Series,['VDI'],Diesel,"35,591 km",Automatic,1st Owner,"Rajarampuri, Kolhapur",06-01-2022,338899
2020 Maruti S PRESSO,['VDI'],Petrol,"4,170 km",Manual,1st Owner,"Rajarampuri, Kolhapur",06-01-2022,449799
2017 Ford New Figo,['OPT'],Petrol,"3,430 km",Manual,1st Owner,"New Shahupuri, Kolhapur",06-01-2022,412899
2016 Hyundai Creta,['AMT'],Diesel,"1,99,598 km",CRDI,2nd Owner,"Muvattupuzha, Muvattupuzha",06-01-2022,489999
2016 Maruti Ciaz,['VXI'],Diesel,"1,68,380 km",Manual,2nd Owner,"Barackpore, Kolkata",06-01-2022,295499
2015 Honda City,['LXI'],Diesel,"1,93,704 km",Manual,1st Owner,"New Shahupuri, Kolhapur",06-01-2022,437299
2016 Hyundai Creta,['VXI'],Diesel,"53,957 km",CRDI,2nd Owner,"New Shahupuri, Kolhapur",06-01-2022,462199
2016 Hyundai Creta,['5'],Diesel,"78,878 km",Manual,1st Owner,"Muvattupuzha, Muvattupuzha",06-01-2022,344199
2015 Maruti S Cross,['STR'],Diesel,"94,544 km",Manual,1st Owner,"Barackpore, Kolkata",06-01-2022,447599
2015 Hyundai Elite i20,['WITH'],Petrol,"70,006 km",Manual,1st Owner,"Brahmsthan, Azamgarh",06-01-2022,303399
2016 Hyundai Creta,['AC'],Diesel,"55,835 km",Manual,2nd Owner,"Brahmsthan, Azamgarh",06-01-2022,459199
2017 Datsun Redi Go,['PLUSHTR'],Petrol,"20,977 km",Manual,3rd Owner,"Dahisar East, Mumbai",06-01-2022,344799
2015 Hyundai Elite i20,['LXI'],Petrol,"69,140 km",Manual,1st Owner,"New Shahupuri, Kolhapur",06-01-2022,330599
2015 Hyundai Elite i20,['VXI'],Diesel,"69,970 km",Manual,1st Owner,"New Shahupuri, Kolhapur",06-01-2022,355899
2013 Toyota Innova,['VXI'],Diesel,"1,21,060 km",Manual,1st Owner,"Shashtri Nagar, Delhi",06-01-2022,303699
2017 Hyundai Creta,['AMT'],Diesel,"19,885 km",Manual,1st Owner,"Gokul Nagar, Udaipur",06-01-2022,301799
2015 Honda City,['HIGHLINE'],Diesel,"81,260 km",Manual,1st Owner,"Sector 62, Noida",06-01-2022,282799
2014 Toyota Fortuner,['DIESEL'],Diesel,"1,75,240 km",Manual,1st Owner,"Sector 62, Noida",06-01-2022,306699
2015 Maruti S Cross,['1.0'],Diesel,"95,369 km",Manual,1st Owner,"Parasakthi Colony, Sivakasi",06-01-2022,247499
2015 Hyundai Creta,['RXL'],Diesel,"24,768 km",Manual,1st Owner,"Baavi, Medarametla",06-01-2022,293499
2015 Hyundai Eon,['LDI'],Petrol,"58,809 km",Manual,1st Owner,"Tilak Nagar, Delhi",06-01-2022,295599
2020 Toyota Glanza,['BS'],Petrol,"13,720 km",Manual,1st Owner,"Tilak Nagar, Delhi",06-01-2022,295599
2015 Hyundai Creta,['IV'],Diesel,"58,003 km",CRDI,1st Owner,"Drivers Colony, Bhadrachalam",06-01-2022,324299
2014 Ford Ecosport,['LXI'],Diesel,"66,779 km",Manual,1st Owner,"Dabeerpura, Hyderabad",06-01-2022,299799
2014 Ford Ecosport,['OPT'],Diesel,"1,27,254 km",Manual,1st Owner,"Dabeerpura, Hyderabad",06-01-2022,315399
2013 Toyota Etios Liva,['LXI'],Diesel,"67,725 km",Manual,1st Owner,"Parasakthi Colony, Sivakasi",06-01-2022,293499
2014 Ford Ecosport,['OPT'],Diesel,"1,02,117 km",Manual,1st Owner,"Tidke Nagar, Nashik",06-01-2022,297199
2016 Hyundai Elite i20,['1.5'],Petrol,"41,533 km",Manual,3rd Owner,"Sabzi Mandi, Shimla",06-01-2022,294599
2015 Hyundai Creta,['V'],Diesel,"1,17,683 km",CRDI,1st Owner,"Sabzi Mandi, Shimla",06-01-2022,294299
2014 Toyota Innova,['OPT'],Diesel,"69,958 km",Manual,2nd Owner,"Umiya Nagar, Nadiad",06-01-2022,299199
2013 Mercedes Benz E Class,['I'],Diesel,"41,294 km",Manual,2nd Owner,"Golpark, Kolkata",06-01-2022,299199
2014 Hyundai Elite i20,['DTEC'],Petrol,"82,377 km",Manual,1st Owner,"Richmond Road, Bengaluru",06-01-2022,299199
2017 Tata Tiago,['VDI'],Petrol,"14,031 km",Manual,1st Owner,"Richmond Road, Bengaluru",06-01-2022,299199
2013 Honda Amaze,['SHVS'],Diesel,"1,09,366 km",Manual,2nd Owner,"New Timber Market Area, Raipur",06-01-2022,299199
2014 Hyundai Elite i20,['FLUIDIC'],Diesel,"37,833 km",Manual,1st Owner,"New Timber Market Area, Raipur",06-01-2022,342099
2015 Hyundai Elite i20,['1.6'],Diesel,"66,762 km",Manual,1st Owner,"Mr 10 Road, Indore",06-01-2022,308399
2016 Maruti Baleno,['EX'],Diesel,"67,332 km",Manual,1st Owner,"Mr 10 Road, Indore",06-01-2022,308999
2016 Maruti Baleno,['VTVT'],Diesel,"71,530 km",Manual,1st Owner,"Mehdipatnam, Hyderabad",06-01-2022,318299
2014 Hyundai Elite i20,['RXT'],Diesel,"1,69,197 km",Manual,1st Owner,"Mehdipatnam, Hyderabad",06-01-2022,366899
2013 Hyundai Grand i10,['VDI'],Petrol,"43,986 km",Manual,1st Owner,"Dabeerpura, Hyderabad",06-01-2022,382899
2019 Hyundai VENUE,['SHVS'],Petrol,"31,118 km",1.0L,1st Owner,"New Timber Market Area, Raipur",06-01-2022,1021799
2017 Maruti Dzire,['LDI'],Petrol,"23,321 km",Manual,1st Owner,"Sabzi Mandi, Shimla",06-01-2022,405699
2020 Hyundai GRAND I10 NIOS,['O'],Petrol,"11,966 km",Automatic,1st Owner,"Khed Shivapur, Pune",06-01-2022,303799
2020 Ford New Figo,['GD'],Petrol,"3,210 km",Manual,1st Owner,"Mr 10 Road, Indore",06-01-2022,410199
2020 MG HECTOR,['GD'],Petrol,"7,284 km",PETROL,1st Owner,"Janakpuri, Delhi",06-01-2022,620099
2016 Maruti Baleno,['ZXI'],Petrol,"57,606 km",Manual,2nd Owner,"Sector 62, Noida",06-01-2022,281099
2016 Maruti Baleno,['PLUS'],Diesel,"63,363 km",Manual,1st Owner,"Sector 62, Noida",06-01-2022,392299
2016 Maruti Baleno,['VXI'],Petrol,"44,604 km",Manual,1st Owner,"Sector 62, Noida",06-01-2022,409799
2014 Toyota Fortuner,['VXI'],Diesel,"1,23,799 km",Automatic,2nd Owner,"Sector 62, Noida",06-01-2022,409999
2013 Toyota Fortuner,['RXL'],Diesel,"74,189 km",Automatic,2nd Owner,"Sector 62, Noida",06-01-2022,388899
2020 Hyundai GRAND I10 NIOS,['ZETA'],Petrol,"3,907 km",Manual,1st Owner,"Sector 62, Noida",06-01-2022,250499
2013 Toyota Fortuner,['SHVS'],Diesel,"1,17,460 km",Manual,3rd Owner,"Sector 62, Noida",05-01-2022,422799
2016 Maruti Baleno,['G'],Petrol,"82,529 km",Manual,1st Owner,"Janakpuri, Delhi",05-01-2022,773399
2014 Renault Duster,['MAGNA'],Diesel,"1,59,012 km",Manual,1st Owner,"Najafgarh, Delhi",05-01-2022,473899
2013 Toyota Fortuner,['1.1'],Diesel,"1,54,297 km",Automatic,1st Owner,"Najafgarh, Delhi",05-01-2022,427299
2013 Toyota Fortuner,['CRDI'],Diesel,"76,953 km",Manual,1st Owner,"Khed Shivapur, Pune",05-01-2022,802199
2014 Ford Ecosport,['1.2'],Diesel,"50,683 km",Manual,1st Owner,"Tidke Nagar, Nashik",03-01-2022,523999
2017 Toyota Fortuner,['SMT'],Diesel,"92,357 km",Manual,1st Owner,"Parasakthi Colony, Sivakasi",03-01-2022,541199
2014 Maruti Ciaz,['I'] ,Diesel,"62,366 km",Manual,1st Owner,"Mehdipatnam, Hyderabad",03-01-2022,619899
2017 Hyundai Elite i20,['VTEC'],Petrol,"32,515 km",Manual,1st Owner,"Mehdipatnam, Hyderabad",03-01-2022,344499
2015 Hyundai i10,['1.2'],Petrol,"40,102 km",Manual,1st Owner,"Jubilee Hills, Hyderabad",03-01-2022,312599
2018 Maruti Dzire,['i-VTEC'],Diesel,"29,735 km",Manual,1st Owner,"Saha Industrial Area, Saha",03-01-2022,629799
2018 Hyundai Elite i20,['VX'],Diesel,"74,782 km",Manual,1st Owner,"Assissi Nagar, Aluva",03-01-2022,626199
2016 Maruti Vitara Brezza,['MT'],Diesel,"1,01,529 km",Manual,1st Owner,"Assissi Nagar, Aluva",03-01-2022,424499
2021 Toyota Glanza,['VXI'],Petrol,"4,768 km",Automatic,1st Owner,"NGO Colony, Pamur",03-01-2022,878599
2018 Ford Figo Aspire,['1.6'],Petrol,"39,845 km",Manual,1st Owner,"Anna Bhau Sathe Chowk, Nanded",03-01-2022,344499
